X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8143098.9844,545834.3138,5154,-7.58397098089e+56,11677,34670,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6079
-8141306.1221,543897.110300001,5155,-7.58397098089e+56,11678,34671,67,Caida,20,Caida de detritos,Caida,cd,6080
-8138300.4959,546116.115600001,5156,-7.58397098089e+56,11679,34672,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6081
-8593971.3704,130641.938,5157,-7.58397098089e+56,11682,34673,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6082
-8139769.9132,544148.490800001,5158,-7.58397098089e+56,11684,34674,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6083
-8143254.5225,538438.325800002,5159,-7.58397098089e+56,11686,34675,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6084
-8149488.4139,538699.928800002,5160,-7.58397098089e+56,11687,34676,67,Caida,20,Caida de detritos,Caida,cd,6085
-8146438.5691,537163.8387,5161,-7.58397098089e+56,11689,34677,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6086
-8148932.1257,540055.127500001,5162,-7.58397098089e+56,11690,34678,71,Flujo,5,Flujo de detritos,Flujo,fd,6087
-8146816.4369,540343.114300001,5163,-7.58397098089e+56,11692,34679,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6088
-8146471.6557,540080.5746,5164,-7.58397098089e+56,11694,34680,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6089
-8136964.662,537688.898699999,5165,-7.58397098089e+56,11697,34681,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6090
